Year,Value,Units,Series,GeoCode
1999,28.4,Hectre per day,Calculated annual values,
2000,28.4,Hectre per day,Calculated annual values,
2001,21.6,Hectre per day,Calculated annual values,
2002,18.0,Hectre per day,Calculated annual values,
2003,17.2,Hectre per day,Calculated annual values,
2004,15.2,Hectre per day,Calculated annual values,
2005,15.8,Hectre per day,Calculated annual values,
2006,20.6,Hectre per day,Calculated annual values,
2007,16.1,Hectre per day,Calculated annual values,
2008,16.4,Hectre per day,Calculated annual values,
2009,16.4,Hectre per day,Calculated annual values,
2010,20.8,Hectre per day,Calculated annual values,
2011,,Hectre per day,Calculated annual values,
2012,12.0,Hectre per day,Calculated annual values,
2013,12.6,Hectre per day,Calculated annual values,
2014,,Hectre per day,Calculated annual values,
2015,12.8,Hectre per day,Calculated annual values,
2016,9.8,Hectre per day,Calculated annual values,
2017,11.7,Hectre per day,Calculated annual values,
2018,10.0,Hectre per day,Calculated annual values,
2019,10.8,Hectre per day,Calculated annual values,
2020,11.6,Hectre per day,Calculated annual values,
1996,-0.7,Hectre per day,Calculated annual values,
1997,1.4,Hectre per day,Calculated annual values,
1998,1.4,Hectre per day,Calculated annual values,
1999,1.4,Hectre per day,Calculated annual values,
2000,1.4,Hectre per day,Calculated annual values,
2001,0.5,Hectre per day,Calculated annual values,
2002,0.4,Hectre per day,Calculated annual values,
2003,0.1,Hectre per day,Calculated annual values,
2004,0.2,Hectre per day,Calculated annual values,
2005,0.4,Hectre per day,Calculated annual values,
2006,0.1,Hectre per day,Calculated annual values,
2007,0.5,Hectre per day,Calculated annual values,
2008,0.1,Hectre per day,Calculated annual values,
2009,0.6,Hectre per day,Calculated annual values,
2010,0.3,Hectre per day,Calculated annual values,
2011,0.2,Hectre per day,Calculated annual values,
2012,-0.6,Hectre per day,Calculated annual values,
2013,0.3,Hectre per day,Calculated annual values,
2014,0.0,Hectre per day,Calculated annual values,
2015,0.0,Hectre per day,Calculated annual values,
2016,0.2,Hectre per day,Calculated annual values,
2017,0.3,Hectre per day,Calculated annual values,
2018,0.1,Hectre per day,Calculated annual values,
2019,0.1,Hectre per day,Calculated annual values,
2020,0.0,Hectre per day,Calculated annual values,
1996,6.9,Hectre per day,Calculated annual values,
1997,9.3,Hectre per day,Calculated annual values,
1998,9.3,Hectre per day,Calculated annual values,
1999,9.3,Hectre per day,Calculated annual values,
2000,9.3,Hectre per day,Calculated annual values,
2001,9.3,Hectre per day,Calculated annual values,
2002,8.0,Hectre per day,Calculated annual values,
2003,8.3,Hectre per day,Calculated annual values,
2004,7.0,Hectre per day,Calculated annual values,
2005,11.2,Hectre per day,Calculated annual values,
2006,8.4,Hectre per day,Calculated annual values,
2007,6.8,Hectre per day,Calculated annual values,
2008,11.5,Hectre per day,Calculated annual values,
2009,6.7,Hectre per day,Calculated annual values,
2010,4.8,Hectre per day,Calculated annual values,
2011,3.2,Hectre per day,Calculated annual values,
2012,3.6,Hectre per day,Calculated annual values,
2013,11.2,Hectre per day,Calculated annual values,
2014,2.9,Hectre per day,Calculated annual values,
2015,1.9,Hectre per day,Calculated annual values,
2016,2.9,Hectre per day,Calculated annual values,
2017,0.6,Hectre per day,Calculated annual values,
2018,1.6,Hectre per day,Calculated annual values,
2019,0.5,Hectre per day,Calculated annual values,
2020,7.7,Hectre per day,Calculated annual values,
1996,0.1,Hectre per day,Calculated annual values,
1997,0.5,Hectre per day,Calculated annual values,
1998,0.5,Hectre per day,Calculated annual values,
1999,0.5,Hectre per day,Calculated annual values,
2000,0.5,Hectre per day,Calculated annual values,
2001,0.3,Hectre per day,Calculated annual values,
2002,0.1,Hectre per day,Calculated annual values,
2003,0.1,Hectre per day,Calculated annual values,
2004,0.2,Hectre per day,Calculated annual values,
2005,0.1,Hectre per day,Calculated annual values,
2006,0.1,Hectre per day,Calculated annual values,
2007,0.4,Hectre per day,Calculated annual values,
2008,0.2,Hectre per day,Calculated annual values,
2009,0.0,Hectre per day,Calculated annual values,
2010,0.2,Hectre per day,Calculated annual values,
2011,0.2,Hectre per day,Calculated annual values,
2012,0.6,Hectre per day,Calculated annual values,
2013,0.0,Hectre per day,Calculated annual values,
2014,0.1,Hectre per day,Calculated annual values,
2015,0.0,Hectre per day,Calculated annual values,
2016,0.3,Hectre per day,Calculated annual values,
2017,0.1,Hectre per day,Calculated annual values,
2018,-0.1,Hectre per day,Calculated annual values,
2019,0.0,Hectre per day,Calculated annual values,
2020,0.1,Hectre per day,Calculated annual values,
1996,0.4,Hectre per day,Calculated annual values,
1997,0.2,Hectre per day,Calculated annual values,
1998,0.2,Hectre per day,Calculated annual values,
1999,0.2,Hectre per day,Calculated annual values,
2000,0.2,Hectre per day,Calculated annual values,
2001,0.1,Hectre per day,Calculated annual values,
2002,1.0,Hectre per day,Calculated annual values,
2003,0.8,Hectre per day,Calculated annual values,
2004,1.2,Hectre per day,Calculated annual values,
2005,1.0,Hectre per day,Calculated annual values,
2006,0.8,Hectre per day,Calculated annual values,
2007,0.1,Hectre per day,Calculated annual values,
2008,0.1,Hectre per day,Calculated annual values,
2009,0.2,Hectre per day,Calculated annual values,
2010,0.2,Hectre per day,Calculated annual values,
2011,0.0,Hectre per day,Calculated annual values,
2012,0.2,Hectre per day,Calculated annual values,
2013,0.4,Hectre per day,Calculated annual values,
2014,-0.6,Hectre per day,Calculated annual values,
2015,-0.9,Hectre per day,Calculated annual values,
2016,-0.9,Hectre per day,Calculated annual values,
2017,0.1,Hectre per day,Calculated annual values,
2018,-0.1,Hectre per day,Calculated annual values,
2019,-0.1,Hectre per day,Calculated annual values,
2020,0.0,Hectre per day,Calculated annual values,
1996,4.5,Hectre per day,Calculated annual values,
1997,4.9,Hectre per day,Calculated annual values,
1998,4.9,Hectre per day,Calculated annual values,
1999,4.9,Hectre per day,Calculated annual values,
2000,4.9,Hectre per day,Calculated annual values,
2001,2.7,Hectre per day,Calculated annual values,
2002,4.8,Hectre per day,Calculated annual values,
2003,4.1,Hectre per day,Calculated annual values,
2004,4.2,Hectre per day,Calculated annual values,
2005,3.7,Hectre per day,Calculated annual values,
2006,3.3,Hectre per day,Calculated annual values,
2007,4.2,Hectre per day,Calculated annual values,
2008,3.2,Hectre per day,Calculated annual values,
2009,3.6,Hectre per day,Calculated annual values,
2010,3.6,Hectre per day,Calculated annual values,
2011,1.4,Hectre per day,Calculated annual values,
2012,3.7,Hectre per day,Calculated annual values,
2013,2.2,Hectre per day,Calculated annual values,
2014,3.6,Hectre per day,Calculated annual values,
2015,2.5,Hectre per day,Calculated annual values,
2016,,Hectre per day,Calculated annual values,
2017,3.7,Hectre per day,Calculated annual values,
2018,2.8,Hectre per day,Calculated annual values,
2019,2.5,Hectre per day,Calculated annual values,
2020,1.5,Hectre per day,Calculated annual values,
1996,5.3,Hectre per day,Calculated annual values,
1997,7.6,Hectre per day,Calculated annual values,
1998,7.6,Hectre per day,Calculated annual values,
1999,7.6,Hectre per day,Calculated annual values,
2000,7.6,Hectre per day,Calculated annual values,
2001,7.3,Hectre per day,Calculated annual values,
2002,10.9,Hectre per day,Calculated annual values,
2003,8.8,Hectre per day,Calculated annual values,
2004,7.9,Hectre per day,Calculated annual values,
2005,6.7,Hectre per day,Calculated annual values,
2006,7.3,Hectre per day,Calculated annual values,
2007,6.7,Hectre per day,Calculated annual values,
2008,10.7,Hectre per day,Calculated annual values,
2009,7.7,Hectre per day,Calculated annual values,
2010,7.1,Hectre per day,Calculated annual values,
2011,2.7,Hectre per day,Calculated annual values,
2012,3.1,Hectre per day,Calculated annual values,
2013,2.1,Hectre per day,Calculated annual values,
2014,2.0,Hectre per day,Calculated annual values,
2015,5.1,Hectre per day,Calculated annual values,
2016,17.7,Hectre per day,Calculated annual values,
2017,-7.9,Hectre per day,Calculated annual values,
2018,0.5,Hectre per day,Calculated annual values,
2019,-0.5,Hectre per day,Calculated annual values,
2020,1.0,Hectre per day,Calculated annual values,
1996,16.6,Hectre per day,Calculated annual values,
1997,16.4,Hectre per day,Calculated annual values,
1998,16.4,Hectre per day,Calculated annual values,
1999,16.4,Hectre per day,Calculated annual values,
2000,16.4,Hectre per day,Calculated annual values,
2001,14.9,Hectre per day,Calculated annual values,
2002,11.8,Hectre per day,Calculated annual values,
2003,12.6,Hectre per day,Calculated annual values,
2004,18.3,Hectre per day,Calculated annual values,
2005,14.0,Hectre per day,Calculated annual values,
2006,11.5,Hectre per day,Calculated annual values,
2007,10.0,Hectre per day,Calculated annual values,
2008,11.0,Hectre per day,Calculated annual values,
2009,8.6,Hectre per day,Calculated annual values,
2010,8.0,Hectre per day,Calculated annual values,
2011,14.8,Hectre per day,Calculated annual values,
2012,9.8,Hectre per day,Calculated annual values,
2013,9.2,Hectre per day,Calculated annual values,
2014,10.3,Hectre per day,Calculated annual values,
2015,9.5,Hectre per day,Calculated annual values,
2016,0.8,Hectre per day,Calculated annual values,
2017,6.5,Hectre per day,Calculated annual values,
2018,7.1,Hectre per day,Calculated annual values,
2019,5.8,Hectre per day,Calculated annual values,
2020,6.8,Hectre per day,Calculated annual values,
1996,15.8,Hectre per day,Calculated annual values,
1997,16.5,Hectre per day,Calculated annual values,
1998,16.5,Hectre per day,Calculated annual values,
1999,16.5,Hectre per day,Calculated annual values,
2000,16.5,Hectre per day,Calculated annual values,
2001,16.3,Hectre per day,Calculated annual values,
2002,16.0,Hectre per day,Calculated annual values,
2003,8.9,Hectre per day,Calculated annual values,
2004,19.7,Hectre per day,Calculated annual values,
2005,13.3,Hectre per day,Calculated annual values,
2006,14.4,Hectre per day,Calculated annual values,
2007,14.1,Hectre per day,Calculated annual values,
2008,15.0,Hectre per day,Calculated annual values,
2009,9.2,Hectre per day,Calculated annual values,
2010,11.5,Hectre per day,Calculated annual values,
2011,10.0,Hectre per day,Calculated annual values,
2012,10.4,Hectre per day,Calculated annual values,
2013,9.3,Hectre per day,Calculated annual values,
2014,9.0,Hectre per day,Calculated annual values,
2015,9.3,Hectre per day,Calculated annual values,
2016,,Hectre per day,Calculated annual values,
2017,6.3,Hectre per day,Calculated annual values,
2018,5.2,Hectre per day,Calculated annual values,
2019,8.1,Hectre per day,Calculated annual values,
2020,5.7,Hectre per day,Calculated annual values,
1996,5.0,Hectre per day,Calculated annual values,
1997,5.4,Hectre per day,Calculated annual values,
1998,5.4,Hectre per day,Calculated annual values,
1999,5.4,Hectre per day,Calculated annual values,
2000,5.4,Hectre per day,Calculated annual values,
2001,5.4,Hectre per day,Calculated annual values,
2002,5.0,Hectre per day,Calculated annual values,
2003,4.4,Hectre per day,Calculated annual values,
2004,8.3,Hectre per day,Calculated annual values,
2005,8.1,Hectre per day,Calculated annual values,
2006,5.4,Hectre per day,Calculated annual values,
2007,4.7,Hectre per day,Calculated annual values,
2008,3.2,Hectre per day,Calculated annual values,
2009,0.6,Hectre per day,Calculated annual values,
2010,0.5,Hectre per day,Calculated annual values,
2011,1.0,Hectre per day,Calculated annual values,
2012,1.5,Hectre per day,Calculated annual values,
2013,1.4,Hectre per day,Calculated annual values,
2014,0.6,Hectre per day,Calculated annual values,
2015,-1.0,Hectre per day,Calculated annual values,
2016,2.2,Hectre per day,Calculated annual values,
2017,-0.4,Hectre per day,Calculated annual values,
2018,1.5,Hectre per day,Calculated annual values,
2019,2.4,Hectre per day,Calculated annual values,
2020,4.8,Hectre per day,Calculated annual values,
1996,0.6,Hectre per day,Calculated annual values,
1997,0.7,Hectre per day,Calculated annual values,
1998,0.7,Hectre per day,Calculated annual values,
1999,0.7,Hectre per day,Calculated annual values,
2000,0.7,Hectre per day,Calculated annual values,
2001,0.8,Hectre per day,Calculated annual values,
2002,0.5,Hectre per day,Calculated annual values,
2003,0.4,Hectre per day,Calculated annual values,
2004,1.3,Hectre per day,Calculated annual values,
2005,0.6,Hectre per day,Calculated annual values,
2006,0.5,Hectre per day,Calculated annual values,
2007,0.6,Hectre per day,Calculated annual values,
2008,0.5,Hectre per day,Calculated annual values,
2009,0.8,Hectre per day,Calculated annual values,
2010,1.0,Hectre per day,Calculated annual values,
2011,0.5,Hectre per day,Calculated annual values,
2012,0.3,Hectre per day,Calculated annual values,
2013,0.3,Hectre per day,Calculated annual values,
2014,0.4,Hectre per day,Calculated annual values,
2015,0.1,Hectre per day,Calculated annual values,
2016,3.0,Hectre per day,Calculated annual values,
2017,0.2,Hectre per day,Calculated annual values,
2018,0.2,Hectre per day,Calculated annual values,
2019,0.2,Hectre per day,Calculated annual values,
2020,0.2,Hectre per day,Calculated annual values,
1996,8.8,Hectre per day,Calculated annual values,
1997,8.2,Hectre per day,Calculated annual values,
1998,8.2,Hectre per day,Calculated annual values,
1999,8.2,Hectre per day,Calculated annual values,
2000,8.2,Hectre per day,Calculated annual values,
2001,8.1,Hectre per day,Calculated annual values,
2002,5.8,Hectre per day,Calculated annual values,
2003,4.0,Hectre per day,Calculated annual values,
2004,2.8,Hectre per day,Calculated annual values,
2005,3.0,Hectre per day,Calculated annual values,
2006,4.5,Hectre per day,Calculated annual values,
2007,11.2,Hectre per day,Calculated annual values,
2008,6.9,Hectre per day,Calculated annual values,
2009,10.1,Hectre per day,Calculated annual values,
2010,6.9,Hectre per day,Calculated annual values,
2011,6.0,Hectre per day,Calculated annual values,
2012,5.7,Hectre per day,Calculated annual values,
2013,2.9,Hectre per day,Calculated annual values,
2014,,Hectre per day,Calculated annual values,
2015,,Hectre per day,Calculated annual values,
2016,3.1,Hectre per day,Calculated annual values,
2017,5.0,Hectre per day,Calculated annual values,
2018,4.5,Hectre per day,Calculated annual values,
2019,5.1,Hectre per day,Calculated annual values,
2020,6.1,Hectre per day,Calculated annual values,
1996,9.2,Hectre per day,Calculated annual values,
1997,9.9,Hectre per day,Calculated annual values,
1998,9.9,Hectre per day,Calculated annual values,
1999,9.9,Hectre per day,Calculated annual values,
2000,9.9,Hectre per day,Calculated annual values,
2001,11.2,Hectre per day,Calculated annual values,
2002,4.4,Hectre per day,Calculated annual values,
2003,8.8,Hectre per day,Calculated annual values,
2004,26.7,Hectre per day,Calculated annual values,
2005,25.0,Hectre per day,Calculated annual values,
2006,11.7,Hectre per day,Calculated annual values,
2007,0.8,Hectre per day,Calculated annual values,
2008,2.5,Hectre per day,Calculated annual values,
2009,0.4,Hectre per day,Calculated annual values,
2010,-1.6,Hectre per day,Calculated annual values,
2011,-0.6,Hectre per day,Calculated annual values,
2012,-0.4,Hectre per day,Calculated annual values,
2013,0.2,Hectre per day,Calculated annual values,
2014,1.8,Hectre per day,Calculated annual values,
2015,0.5,Hectre per day,Calculated annual values,
2016,1.7,Hectre per day,Calculated annual values,
2017,0.6,Hectre per day,Calculated annual values,
2018,-0.1,Hectre per day,Calculated annual values,
2019,1.7,Hectre per day,Calculated annual values,
2020,0.6,Hectre per day,Calculated annual values,
1996,3.3,Hectre per day,Calculated annual values,
1997,4.1,Hectre per day,Calculated annual values,
1998,4.1,Hectre per day,Calculated annual values,
1999,4.1,Hectre per day,Calculated annual values,
2000,4.1,Hectre per day,Calculated annual values,
2001,,Hectre per day,Calculated annual values,
2002,,Hectre per day,Calculated annual values,
2003,,Hectre per day,Calculated annual values,
2004,,Hectre per day,Calculated annual values,
2005,4.5,Hectre per day,Calculated annual values,
2006,6.5,Hectre per day,Calculated annual values,
2007,7.4,Hectre per day,Calculated annual values,
2008,3.1,Hectre per day,Calculated annual values,
2009,3.3,Hectre per day,Calculated annual values,
2010,3.0,Hectre per day,Calculated annual values,
2011,4.8,Hectre per day,Calculated annual values,
2012,2.3,Hectre per day,Calculated annual values,
2013,2.7,Hectre per day,Calculated annual values,
2014,2.9,Hectre per day,Calculated annual values,
2015,2.8,Hectre per day,Calculated annual values,
2016,0.9,Hectre per day,Calculated annual values,
2017,3.4,Hectre per day,Calculated annual values,
2018,3.2,Hectre per day,Calculated annual values,
2019,1.8,Hectre per day,Calculated annual values,
2020,5.8,Hectre per day,Calculated annual values,
1996,6.1,Hectre per day,Calculated annual values,
1997,3.6,Hectre per day,Calculated annual values,
1998,3.6,Hectre per day,Calculated annual values,
1999,3.6,Hectre per day,Calculated annual values,
2000,3.6,Hectre per day,Calculated annual values,
2001,2.4,Hectre per day,Calculated annual values,
2002,3.8,Hectre per day,Calculated annual values,
2003,1.5,Hectre per day,Calculated annual values,
2004,1.0,Hectre per day,Calculated annual values,
2005,1.6,Hectre per day,Calculated annual values,
2006,1.6,Hectre per day,Calculated annual values,
2007,2.0,Hectre per day,Calculated annual values,
2008,2.5,Hectre per day,Calculated annual values,
2009,2.7,Hectre per day,Calculated annual values,
2010,3.7,Hectre per day,Calculated annual values,
2011,5.1,Hectre per day,Calculated annual values,
2012,5.4,Hectre per day,Calculated annual values,
2013,2.6,Hectre per day,Calculated annual values,
2014,8.3,Hectre per day,Calculated annual values,
2015,2.5,Hectre per day,Calculated annual values,
2016,8.7,Hectre per day,Calculated annual values,
2017,,Hectre per day,Calculated annual values,
2018,,Hectre per day,Calculated annual values,
2019,1.9,Hectre per day,Calculated annual values,
2020,0.8,Hectre per day,Calculated annual values,
